,,,Total Trips
Year1Bedford-Stuyvesant-Two Bridges,Bedford-Stuyvesant-Two Bridges,Year1,13
Year2Bedford-Stuyvesant-Two Bridges,Bedford-Stuyvesant-Two Bridges,Year2,12
Year3Bedford-Stuyvesant-Two Bridges,Bedford-Stuyvesant-Two Bridges,Year3,27
Year1Bedford-Stuyvesant-Upper East Side,Bedford-Stuyvesant-Upper East Side,Year1,10
Year2Bedford-Stuyvesant-Upper East Side,Bedford-Stuyvesant-Upper East Side,Year2,2
Year3Bedford-Stuyvesant-Upper East Side,Bedford-Stuyvesant-Upper East Side,Year3,42
Year1Bedford-Stuyvesant-Upper West Side,Bedford-Stuyvesant-Upper West Side,Year1,192
Year2Bedford-Stuyvesant-Upper West Side,Bedford-Stuyvesant-Upper West Side,Year2,1
Year3Bedford-Stuyvesant-Upper West Side,Bedford-Stuyvesant-Upper West Side,Year3,24
Year1Bedford-Stuyvesant-Vinegar Hill,Bedford-Stuyvesant-Vinegar Hill,Year1,823
Year2Bedford-Stuyvesant-Vinegar Hill,Bedford-Stuyvesant-Vinegar Hill,Year2,626
Year3Bedford-Stuyvesant-Vinegar Hill,Bedford-Stuyvesant-Vinegar Hill,Year3,1557
Year1Bedford-Stuyvesant-West Village,Bedford-Stuyvesant-West Village,Year1,320
Year2Bedford-Stuyvesant-West Village,Bedford-Stuyvesant-West Village,Year2,157
Year3Bedford-Stuyvesant-West Village,Bedford-Stuyvesant-West Village,Year3,479
Year1Bedford-Stuyvesant-Williamsburg,Bedford-Stuyvesant-Williamsburg,Year1,3633
Year2Bedford-Stuyvesant-Williamsburg,Bedford-Stuyvesant-Williamsburg,Year2,3489
Year3Bedford-Stuyvesant-Williamsburg,Bedford-Stuyvesant-Williamsburg,Year3,14972
Year1Boerum Hill-Battery Park City,Boerum Hill-Battery Park City,Year1,129
Year2Boerum Hill-Battery Park City,Boerum Hill-Battery Park City,Year2,105
Year3Boerum Hill-Battery Park City,Boerum Hill-Battery Park City,Year3,114
Year1Boerum Hill-Bedford-Stuyvesant,Boerum Hill-Bedford-Stuyvesant,Year1,1069
Year2Boerum Hill-Bedford-Stuyvesant,Boerum Hill-Bedford-Stuyvesant,Year2,988
Year3Boerum Hill-Bedford-Stuyvesant,Boerum Hill-Bedford-Stuyvesant,Year3,1678
Year1Boerum Hill-Boerum Hill,Boerum Hill-Boerum Hill,Year1,2613
Year2Boerum Hill-Boerum Hill,Boerum Hill-Boerum Hill,Year2,2256
Year3Boerum Hill-Boerum Hill,Boerum Hill-Boerum Hill,Year3,2469
Year1Boerum Hill-Brooklyn Heights,Boerum Hill-Brooklyn Heights,Year1,3359
Year2Boerum Hill-Brooklyn Heights,Boerum Hill-Brooklyn Heights,Year2,2643
Year3Boerum Hill-Brooklyn Heights,Boerum Hill-Brooklyn Heights,Year3,3591
Year1Boerum Hill-Central Park,Boerum Hill-Central Park,Year1,4
Year3Boerum Hill-Central Park,Boerum Hill-Central Park,Year3,14
Year1Boerum Hill-Chelsea,Boerum Hill-Chelsea,Year1,360
Year2Boerum Hill-Chelsea,Boerum Hill-Chelsea,Year2,516
Year3Boerum Hill-Chelsea,Boerum Hill-Chelsea,Year3,762
Year1Boerum Hill-Chinatown,Boerum Hill-Chinatown,Year1,399
Year2Boerum Hill-Chinatown,Boerum Hill-Chinatown,Year2,355
Year3Boerum Hill-Chinatown,Boerum Hill-Chinatown,Year3,450
Year1Boerum Hill-Civic Center,Boerum Hill-Civic Center,Year1,665
Year2Boerum Hill-Civic Center,Boerum Hill-Civic Center,Year2,508
Year3Boerum Hill-Civic Center,Boerum Hill-Civic Center,Year3,950
Year1Boerum Hill-Clinton Hill,Boerum Hill-Clinton Hill,Year1,2589
Year2Boerum Hill-Clinton Hill,Boerum Hill-Clinton Hill,Year2,1804
Year3Boerum Hill-Clinton Hill,Boerum Hill-Clinton Hill,Year3,2364
Year1Boerum Hill-Columbia St,Boerum Hill-Columbia St,Year1,509
Year2Boerum Hill-Columbia St,Boerum Hill-Columbia St,Year2,394
Year3Boerum Hill-Columbia St,Boerum Hill-Columbia St,Year3,445
Year1Boerum Hill-DUMBO,Boerum Hill-DUMBO,Year1,1656
Year2Boerum Hill-DUMBO,Boerum Hill-DUMBO,Year2,1212
Year3Boerum Hill-DUMBO,Boerum Hill-DUMBO,Year3,1307
Year1Boerum Hill-Downtown Brooklyn,Boerum Hill-Downtown Brooklyn,Year1,3245
Year2Boerum Hill-Downtown Brooklyn,Boerum Hill-Downtown Brooklyn,Year2,3012
Year3Boerum Hill-Downtown Brooklyn,Boerum Hill-Downtown Brooklyn,Year3,3057
Year1Boerum Hill-East Village,Boerum Hill-East Village,Year1,488
Year2Boerum Hill-East Village,Boerum Hill-East Village,Year2,457
Year3Boerum Hill-East Village,Boerum Hill-East Village,Year3,584
Year1Boerum Hill-Financial District,Boerum Hill-Financial District,Year1,938
Year2Boerum Hill-Financial District,Boerum Hill-Financial District,Year2,760
Year3Boerum Hill-Financial District,Boerum Hill-Financial District,Year3,1069
Year1Boerum Hill-Flatiron District,Boerum Hill-Flatiron District,Year1,113
Year2Boerum Hill-Flatiron District,Boerum Hill-Flatiron District,Year2,139
Year3Boerum Hill-Flatiron District,Boerum Hill-Flatiron District,Year3,128
Year1Boerum Hill-Fort Greene,Boerum Hill-Fort Greene,Year1,5993
Year2Boerum Hill-Fort Greene,Boerum Hill-Fort Greene,Year2,5291
Year3Boerum Hill-Fort Greene,Boerum Hill-Fort Greene,Year3,5510
Year1Boerum Hill-Gramercy,Boerum Hill-Gramercy,Year1,278
Year2Boerum Hill-Gramercy,Boerum Hill-Gramercy,Year2,192
Year3Boerum Hill-Gramercy,Boerum Hill-Gramercy,Year3,408
Year3Boerum Hill-Greenpoint,Boerum Hill-Greenpoint,Year3,205
Year1Boerum Hill-Greenwich Village,Boerum Hill-Greenwich Village,Year1,211
Year2Boerum Hill-Greenwich Village,Boerum Hill-Greenwich Village,Year2,181
Year3Boerum Hill-Greenwich Village,Boerum Hill-Greenwich Village,Year3,258
Year1Boerum Hill-Hells Kitchen,Boerum Hill-Hells Kitchen,Year1,102
Year2Boerum Hill-Hells Kitchen,Boerum Hill-Hells Kitchen,Year2,193
Year3Boerum Hill-Hells Kitchen,Boerum Hill-Hells Kitchen,Year3,263
Year1Boerum Hill-Kips Bay,Boerum Hill-Kips Bay,Year1,219
Year2Boerum Hill-Kips Bay,Boerum Hill-Kips Bay,Year2,224
Year3Boerum Hill-Kips Bay,Boerum Hill-Kips Bay,Year3,379
Year3Boerum Hill-Long Island City,Boerum Hill-Long Island City,Year3,27
Year1Boerum Hill-Lower East Side,Boerum Hill-Lower East Side,Year1,516
Year2Boerum Hill-Lower East Side,Boerum Hill-Lower East Side,Year2,589
Year3Boerum Hill-Lower East Side,Boerum Hill-Lower East Side,Year3,612
Year1Boerum Hill-Midtown,Boerum Hill-Midtown,Year1,481
Year2Boerum Hill-Midtown,Boerum Hill-Midtown,Year2,409
Year3Boerum Hill-Midtown,Boerum Hill-Midtown,Year3,597
Year1Boerum Hill-Murray Hill,Boerum Hill-Murray Hill,Year1,55
Year2Boerum Hill-Murray Hill,Boerum Hill-Murray Hill,Year2,70
Year3Boerum Hill-Murray Hill,Boerum Hill-Murray Hill,Year3,112
Year1Boerum Hill-Navy Yard,Boerum Hill-Navy Yard,Year1,35
Year2Boerum Hill-Navy Yard,Boerum Hill-Navy Yard,Year2,73
Year3Boerum Hill-Navy Yard,Boerum Hill-Navy Yard,Year3,98
Year1Boerum Hill-NoHo,Boerum Hill-NoHo,Year1,21
Year2Boerum Hill-NoHo,Boerum Hill-NoHo,Year2,69
Year3Boerum Hill-NoHo,Boerum Hill-NoHo,Year3,57
Year1Boerum Hill-Nolita,Boerum Hill-Nolita,Year1,320
Year2Boerum Hill-Nolita,Boerum Hill-Nolita,Year2,410
Year3Boerum Hill-Nolita,Boerum Hill-Nolita,Year3,135
Year1Boerum Hill-Park Slope,Boerum Hill-Park Slope,Year1,945
Year2Boerum Hill-Park Slope,Boerum Hill-Park Slope,Year2,861
Year3Boerum Hill-Park Slope,Boerum Hill-Park Slope,Year3,1318
Year3Boerum Hill-Prospect Park,Boerum Hill-Prospect Park,Year3,2
Year1Boerum Hill-SoHo,Boerum Hill-SoHo,Year1,385
Year2Boerum Hill-SoHo,Boerum Hill-SoHo,Year2,325
Year3Boerum Hill-SoHo,Boerum Hill-SoHo,Year3,493
Year1Boerum Hill-Stuyvesant Town,Boerum Hill-Stuyvesant Town,Year1,39
Year2Boerum Hill-Stuyvesant Town,Boerum Hill-Stuyvesant Town,Year2,39
Year3Boerum Hill-Stuyvesant Town,Boerum Hill-Stuyvesant Town,Year3,55
Year2Boerum Hill-Sunset Park,Boerum Hill-Sunset Park,Year2,2
Year3Boerum Hill-Sunset Park,Boerum Hill-Sunset Park,Year3,2
Year1Boerum Hill-Theater District,Boerum Hill-Theater District,Year1,47
Year2Boerum Hill-Theater District,Boerum Hill-Theater District,Year2,26
Year3Boerum Hill-Theater District,Boerum Hill-Theater District,Year3,144
Year1Boerum Hill-Tribeca,Boerum Hill-Tribeca,Year1,1145
Year2Boerum Hill-Tribeca,Boerum Hill-Tribeca,Year2,799
Year3Boerum Hill-Tribeca,Boerum Hill-Tribeca,Year3,932
Year1Boerum Hill-Two Bridges,Boerum Hill-Two Bridges,Year1,8
Year2Boerum Hill-Two Bridges,Boerum Hill-Two Bridges,Year2,24
Year3Boerum Hill-Two Bridges,Boerum Hill-Two Bridges,Year3,33
Year1Boerum Hill-Upper East Side,Boerum Hill-Upper East Side,Year1,36
Year2Boerum Hill-Upper East Side,Boerum Hill-Upper East Side,Year2,42
