,,,Total Trips
Year1Two Bridges-Boerum Hill,Two Bridges-Boerum Hill,Year1,56
Year2Two Bridges-Boerum Hill,Two Bridges-Boerum Hill,Year2,59
Year3Two Bridges-Boerum Hill,Two Bridges-Boerum Hill,Year3,62
Year1Two Bridges-Brooklyn Heights,Two Bridges-Brooklyn Heights,Year1,233
Year2Two Bridges-Brooklyn Heights,Two Bridges-Brooklyn Heights,Year2,182
Year3Two Bridges-Brooklyn Heights,Two Bridges-Brooklyn Heights,Year3,259
Year1Two Bridges-Central Park,Two Bridges-Central Park,Year1,14
Year2Two Bridges-Central Park,Two Bridges-Central Park,Year2,5
Year3Two Bridges-Central Park,Two Bridges-Central Park,Year3,14
Year1Two Bridges-Chelsea,Two Bridges-Chelsea,Year1,641
Year2Two Bridges-Chelsea,Two Bridges-Chelsea,Year2,569
Year3Two Bridges-Chelsea,Two Bridges-Chelsea,Year3,905
Year1Two Bridges-Chinatown,Two Bridges-Chinatown,Year1,3083
Year2Two Bridges-Chinatown,Two Bridges-Chinatown,Year2,3003
Year3Two Bridges-Chinatown,Two Bridges-Chinatown,Year3,3803
Year1Two Bridges-Civic Center,Two Bridges-Civic Center,Year1,1675
Year2Two Bridges-Civic Center,Two Bridges-Civic Center,Year2,1427
Year3Two Bridges-Civic Center,Two Bridges-Civic Center,Year3,1942
Year1Two Bridges-Clinton Hill,Two Bridges-Clinton Hill,Year1,33
Year2Two Bridges-Clinton Hill,Two Bridges-Clinton Hill,Year2,13
Year3Two Bridges-Clinton Hill,Two Bridges-Clinton Hill,Year3,57
Year1Two Bridges-Columbia St,Two Bridges-Columbia St,Year1,9
Year2Two Bridges-Columbia St,Two Bridges-Columbia St,Year2,21
Year3Two Bridges-Columbia St,Two Bridges-Columbia St,Year3,18
Year1Two Bridges-DUMBO,Two Bridges-DUMBO,Year1,132
Year2Two Bridges-DUMBO,Two Bridges-DUMBO,Year2,106
Year3Two Bridges-DUMBO,Two Bridges-DUMBO,Year3,138
Year1Two Bridges-Downtown Brooklyn,Two Bridges-Downtown Brooklyn,Year1,779
Year2Two Bridges-Downtown Brooklyn,Two Bridges-Downtown Brooklyn,Year2,743
Year3Two Bridges-Downtown Brooklyn,Two Bridges-Downtown Brooklyn,Year3,914
Year1Two Bridges-East Village,Two Bridges-East Village,Year1,2253
Year2Two Bridges-East Village,Two Bridges-East Village,Year2,2129
Year3Two Bridges-East Village,Two Bridges-East Village,Year3,2815
Year1Two Bridges-Financial District,Two Bridges-Financial District,Year1,6525
Year2Two Bridges-Financial District,Two Bridges-Financial District,Year2,7333
Year3Two Bridges-Financial District,Two Bridges-Financial District,Year3,9624
Year1Two Bridges-Flatiron District,Two Bridges-Flatiron District,Year1,101
Year2Two Bridges-Flatiron District,Two Bridges-Flatiron District,Year2,152
Year3Two Bridges-Flatiron District,Two Bridges-Flatiron District,Year3,184
Year1Two Bridges-Fort Greene,Two Bridges-Fort Greene,Year1,113
Year2Two Bridges-Fort Greene,Two Bridges-Fort Greene,Year2,48
Year3Two Bridges-Fort Greene,Two Bridges-Fort Greene,Year3,56
Year3Two Bridges-Governors Island,Two Bridges-Governors Island,Year3,1
Year1Two Bridges-Gramercy,Two Bridges-Gramercy,Year1,339
Year2Two Bridges-Gramercy,Two Bridges-Gramercy,Year2,304
Year3Two Bridges-Gramercy,Two Bridges-Gramercy,Year3,747
Year3Two Bridges-Greenpoint,Two Bridges-Greenpoint,Year3,118
Year1Two Bridges-Greenwich Village,Two Bridges-Greenwich Village,Year1,690
Year2Two Bridges-Greenwich Village,Two Bridges-Greenwich Village,Year2,574
Year3Two Bridges-Greenwich Village,Two Bridges-Greenwich Village,Year3,826
Year1Two Bridges-Hells Kitchen,Two Bridges-Hells Kitchen,Year1,321
Year2Two Bridges-Hells Kitchen,Two Bridges-Hells Kitchen,Year2,177
Year3Two Bridges-Hells Kitchen,Two Bridges-Hells Kitchen,Year3,172
Year1Two Bridges-Kips Bay,Two Bridges-Kips Bay,Year1,756
Year2Two Bridges-Kips Bay,Two Bridges-Kips Bay,Year2,581
Year3Two Bridges-Kips Bay,Two Bridges-Kips Bay,Year3,717
Year3Two Bridges-Long Island City,Two Bridges-Long Island City,Year3,4
Year1Two Bridges-Lower East Side,Two Bridges-Lower East Side,Year1,5108
Year2Two Bridges-Lower East Side,Two Bridges-Lower East Side,Year2,4975
Year3Two Bridges-Lower East Side,Two Bridges-Lower East Side,Year3,6735
Year1Two Bridges-Midtown,Two Bridges-Midtown,Year1,1000
Year2Two Bridges-Midtown,Two Bridges-Midtown,Year2,775
Year3Two Bridges-Midtown,Two Bridges-Midtown,Year3,1010
Year1Two Bridges-Murray Hill,Two Bridges-Murray Hill,Year1,352
Year2Two Bridges-Murray Hill,Two Bridges-Murray Hill,Year2,290
Year3Two Bridges-Murray Hill,Two Bridges-Murray Hill,Year3,408
Year1Two Bridges-Navy Yard,Two Bridges-Navy Yard,Year1,12
Year2Two Bridges-Navy Yard,Two Bridges-Navy Yard,Year2,1
Year3Two Bridges-Navy Yard,Two Bridges-Navy Yard,Year3,4
Year1Two Bridges-NoHo,Two Bridges-NoHo,Year1,113
Year2Two Bridges-NoHo,Two Bridges-NoHo,Year2,60
Year3Two Bridges-NoHo,Two Bridges-NoHo,Year3,163
Year1Two Bridges-Nolita,Two Bridges-Nolita,Year1,1170
Year2Two Bridges-Nolita,Two Bridges-Nolita,Year2,1262
Year3Two Bridges-Nolita,Two Bridges-Nolita,Year3,809
Year1Two Bridges-Park Slope,Two Bridges-Park Slope,Year1,29
Year2Two Bridges-Park Slope,Two Bridges-Park Slope,Year2,32
Year3Two Bridges-Park Slope,Two Bridges-Park Slope,Year3,34
Year1Two Bridges-SoHo,Two Bridges-SoHo,Year1,942
Year2Two Bridges-SoHo,Two Bridges-SoHo,Year2,780
Year3Two Bridges-SoHo,Two Bridges-SoHo,Year3,1616
Year1Two Bridges-Stuyvesant Town,Two Bridges-Stuyvesant Town,Year1,572
Year2Two Bridges-Stuyvesant Town,Two Bridges-Stuyvesant Town,Year2,552
Year3Two Bridges-Stuyvesant Town,Two Bridges-Stuyvesant Town,Year3,810
Year1Two Bridges-Theater District,Two Bridges-Theater District,Year1,180
Year2Two Bridges-Theater District,Two Bridges-Theater District,Year2,71
Year3Two Bridges-Theater District,Two Bridges-Theater District,Year3,59
Year1Two Bridges-Tribeca,Two Bridges-Tribeca,Year1,1940
Year2Two Bridges-Tribeca,Two Bridges-Tribeca,Year2,1914
Year3Two Bridges-Tribeca,Two Bridges-Tribeca,Year3,1985
Year1Two Bridges-Two Bridges,Two Bridges-Two Bridges,Year1,2347
Year2Two Bridges-Two Bridges,Two Bridges-Two Bridges,Year2,2577
Year3Two Bridges-Two Bridges,Two Bridges-Two Bridges,Year3,2904
Year1Two Bridges-Upper East Side,Two Bridges-Upper East Side,Year1,23
Year2Two Bridges-Upper East Side,Two Bridges-Upper East Side,Year2,27
Year3Two Bridges-Upper East Side,Two Bridges-Upper East Side,Year3,111
Year1Two Bridges-Upper West Side,Two Bridges-Upper West Side,Year1,37
Year2Two Bridges-Upper West Side,Two Bridges-Upper West Side,Year2,29
Year3Two Bridges-Upper West Side,Two Bridges-Upper West Side,Year3,31
Year1Two Bridges-Vinegar Hill,Two Bridges-Vinegar Hill,Year1,166
Year2Two Bridges-Vinegar Hill,Two Bridges-Vinegar Hill,Year2,118
Year3Two Bridges-Vinegar Hill,Two Bridges-Vinegar Hill,Year3,113
Year1Two Bridges-West Village,Two Bridges-West Village,Year1,432
Year2Two Bridges-West Village,Two Bridges-West Village,Year2,479
Year3Two Bridges-West Village,Two Bridges-West Village,Year3,526
Year1Two Bridges-Williamsburg,Two Bridges-Williamsburg,Year1,271
Year2Two Bridges-Williamsburg,Two Bridges-Williamsburg,Year2,146
Year3Two Bridges-Williamsburg,Two Bridges-Williamsburg,Year3,293
Year1Upper East Side-Battery Park City,Upper East Side-Battery Park City,Year1,34
Year2Upper East Side-Battery Park City,Upper East Side-Battery Park City,Year2,107
Year3Upper East Side-Battery Park City,Upper East Side-Battery Park City,Year3,761
Year1Upper East Side-Bedford-Stuyvesant,Upper East Side-Bedford-Stuyvesant,Year1,14
Year3Upper East Side-Bedford-Stuyvesant,Upper East Side-Bedford-Stuyvesant,Year3,50
Year1Upper East Side-Boerum Hill,Upper East Side-Boerum Hill,Year1,21
Year2Upper East Side-Boerum Hill,Upper East Side-Boerum Hill,Year2,33
Year3Upper East Side-Boerum Hill,Upper East Side-Boerum Hill,Year3,82
Year1Upper East Side-Brooklyn Heights,Upper East Side-Brooklyn Heights,Year1,45
Year2Upper East Side-Brooklyn Heights,Upper East Side-Brooklyn Heights,Year2,26
Year3Upper East Side-Brooklyn Heights,Upper East Side-Brooklyn Heights,Year3,186
Year1Upper East Side-Central Park,Upper East Side-Central Park,Year1,100
Year2Upper East Side-Central Park,Upper East Side-Central Park,Year2,100
Year3Upper East Side-Central Park,Upper East Side-Central Park,Year3,25140
Year1Upper East Side-Chelsea,Upper East Side-Chelsea,Year1,1236
Year2Upper East Side-Chelsea,Upper East Side-Chelsea,Year2,1552
Year3Upper East Side-Chelsea,Upper East Side-Chelsea,Year3,13962
Year1Upper East Side-Chinatown,Upper East Side-Chinatown,Year1,105
Year2Upper East Side-Chinatown,Upper East Side-Chinatown,Year2,81
Year3Upper East Side-Chinatown,Upper East Side-Chinatown,Year3,557
Year1Upper East Side-Civic Center,Upper East Side-Civic Center,Year1,113
Year2Upper East Side-Civic Center,Upper East Side-Civic Center,Year2,11
Year3Upper East Side-Civic Center,Upper East Side-Civic Center,Year3,352
Year1Upper East Side-Clinton Hill,Upper East Side-Clinton Hill,Year1,23
Year2Upper East Side-Clinton Hill,Upper East Side-Clinton Hill,Year2,2
Year3Upper East Side-Clinton Hill,Upper East Side-Clinton Hill,Year3,51
Year1Upper East Side-Columbia St,Upper East Side-Columbia St,Year1,4
Year3Upper East Side-Columbia St,Upper East Side-Columbia St,Year3,21
Year1Upper East Side-DUMBO,Upper East Side-DUMBO,Year1,28
Year2Upper East Side-DUMBO,Upper East Side-DUMBO,Year2,8
Year3Upper East Side-DUMBO,Upper East Side-DUMBO,Year3,50
Year1Upper East Side-Downtown Brooklyn,Upper East Side-Downtown Brooklyn,Year1,50
Year2Upper East Side-Downtown Brooklyn,Upper East Side-Downtown Brooklyn,Year2,11
Year3Upper East Side-Downtown Brooklyn,Upper East Side-Downtown Brooklyn,Year3,82
Year1Upper East Side-East Village,Upper East Side-East Village,Year1,1058
Year2Upper East Side-East Village,Upper East Side-East Village,Year2,791
Year3Upper East Side-East Village,Upper East Side-East Village,Year3,6861
Year1Upper East Side-Financial District,Upper East Side-Financial District,Year1,273
Year2Upper East Side-Financial District,Upper East Side-Financial District,Year2,227
Year3Upper East Side-Financial District,Upper East Side-Financial District,Year3,1359
Year1Upper East Side-Flatiron District,Upper East Side-Flatiron District,Year1,257
Year2Upper East Side-Flatiron District,Upper East Side-Flatiron District,Year2,201
Year3Upper East Side-Flatiron District,Upper East Side-Flatiron District,Year3,2820
Year1Upper East Side-Fort Greene,Upper East Side-Fort Greene,Year1,81
Year2Upper East Side-Fort Greene,Upper East Side-Fort Greene,Year2,7
Year3Upper East Side-Fort Greene,Upper East Side-Fort Greene,Year3,75
Year1Upper East Side-Gramercy,Upper East Side-Gramercy,Year1,443
Year2Upper East Side-Gramercy,Upper East Side-Gramercy,Year2,504
Year3Upper East Side-Gramercy,Upper East Side-Gramercy,Year3,4582
Year3Upper East Side-Greenpoint,Upper East Side-Greenpoint,Year3,489
Year1Upper East Side-Greenwich Village,Upper East Side-Greenwich Village,Year1,489
Year2Upper East Side-Greenwich Village,Upper East Side-Greenwich Village,Year2,379
Year3Upper East Side-Greenwich Village,Upper East Side-Greenwich Village,Year3,2478
Year1Upper East Side-Hells Kitchen,Upper East Side-Hells Kitchen,Year1,879
Year2Upper East Side-Hells Kitchen,Upper East Side-Hells Kitchen,Year2,740
Year3Upper East Side-Hells Kitchen,Upper East Side-Hells Kitchen,Year3,14721
Year1Upper East Side-Kips Bay,Upper East Side-Kips Bay,Year1,1592
Year2Upper East Side-Kips Bay,Upper East Side-Kips Bay,Year2,1394
Year3Upper East Side-Kips Bay,Upper East Side-Kips Bay,Year3,8732
Year3Upper East Side-Long Island City,Upper East Side-Long Island City,Year3,4117
Year1Upper East Side-Lower East Side,Upper East Side-Lower East Side,Year1,346
Year2Upper East Side-Lower East Side,Upper East Side-Lower East Side,Year2,237
Year3Upper East Side-Lower East Side,Upper East Side-Lower East Side,Year3,2321
Year1Upper East Side-Midtown,Upper East Side-Midtown,Year1,5311
Year2Upper East Side-Midtown,Upper East Side-Midtown,Year2,5970
Year3Upper East Side-Midtown,Upper East Side-Midtown,Year3,88545
Year1Upper East Side-Murray Hill,Upper East Side-Murray Hill,Year1,797
Year2Upper East Side-Murray Hill,Upper East Side-Murray Hill,Year2,1001
Year3Upper East Side-Murray Hill,Upper East Side-Murray Hill,Year3,10979
Year1Upper East Side-Navy Yard,Upper East Side-Navy Yard,Year1,5
Year2Upper East Side-Navy Yard,Upper East Side-Navy Yard,Year2,2
Year3Upper East Side-Navy Yard,Upper East Side-Navy Yard,Year3,3
Year1Upper East Side-NoHo,Upper East Side-NoHo,Year1,30
Year2Upper East Side-NoHo,Upper East Side-NoHo,Year2,15
Year3Upper East Side-NoHo,Upper East Side-NoHo,Year3,366
Year1Upper East Side-Nolita,Upper East Side-Nolita,Year1,108
Year2Upper East Side-Nolita,Upper East Side-Nolita,Year2,70
Year3Upper East Side-Nolita,Upper East Side-Nolita,Year3,649
Year1Upper East Side-Park Slope,Upper East Side-Park Slope,Year1,17
Year2Upper East Side-Park Slope,Upper East Side-Park Slope,Year2,5
Year3Upper East Side-Park Slope,Upper East Side-Park Slope,Year3,19
Year1Upper East Side-SoHo,Upper East Side-SoHo,Year1,214
Year2Upper East Side-SoHo,Upper East Side-SoHo,Year2,240
Year3Upper East Side-SoHo,Upper East Side-SoHo,Year3,1547
Year1Upper East Side-Stuyvesant Town,Upper East Side-Stuyvesant Town,Year1,345
Year2Upper East Side-Stuyvesant Town,Upper East Side-Stuyvesant Town,Year2,269
Year3Upper East Side-Stuyvesant Town,Upper East Side-Stuyvesant Town,Year3,2744
Year3Upper East Side-Sunset Park,Upper East Side-Sunset Park,Year3,5
Year1Upper East Side-Theater District,Upper East Side-Theater District,Year1,609
Year2Upper East Side-Theater District,Upper East Side-Theater District,Year2,609
Year3Upper East Side-Theater District,Upper East Side-Theater District,Year3,10688
Year1Upper East Side-Tribeca,Upper East Side-Tribeca,Year1,96
Year2Upper East Side-Tribeca,Upper East Side-Tribeca,Year2,174
Year3Upper East Side-Tribeca,Upper East Side-Tribeca,Year3,1061
Year1Upper East Side-Two Bridges,Upper East Side-Two Bridges,Year1,9
Year2Upper East Side-Two Bridges,Upper East Side-Two Bridges,Year2,7
Year3Upper East Side-Two Bridges,Upper East Side-Two Bridges,Year3,96
Year1Upper East Side-Upper East Side,Upper East Side-Upper East Side,Year1,701
Year2Upper East Side-Upper East Side,Upper East Side-Upper East Side,Year2,513
Year3Upper East Side-Upper East Side,Upper East Side-Upper East Side,Year3,135362
Year1Upper East Side-Upper West Side,Upper East Side-Upper West Side,Year1,285
Year2Upper East Side-Upper West Side,Upper East Side-Upper West Side,Year2,290
Year3Upper East Side-Upper West Side,Upper East Side-Upper West Side,Year3,30719
Year1Upper East Side-Vinegar Hill,Upper East Side-Vinegar Hill,Year1,17
Year2Upper East Side-Vinegar Hill,Upper East Side-Vinegar Hill,Year2,10
Year3Upper East Side-Vinegar Hill,Upper East Side-Vinegar Hill,Year3,72
Year1Upper East Side-West Village,Upper East Side-West Village,Year1,250
Year2Upper East Side-West Village,Upper East Side-West Village,Year2,199
Year3Upper East Side-West Village,Upper East Side-West Village,Year3,2469
Year1Upper East Side-Williamsburg,Upper East Side-Williamsburg,Year1,136
Year2Upper East Side-Williamsburg,Upper East Side-Williamsburg,Year2,227
Year3Upper East Side-Williamsburg,Upper East Side-Williamsburg,Year3,1000
Year1Upper West Side-Battery Park City,Upper West Side-Battery Park City,Year1,2387
Year2Upper West Side-Battery Park City,Upper West Side-Battery Park City,Year2,3122
Year3Upper West Side-Battery Park City,Upper West Side-Battery Park City,Year3,8487
Year1Upper West Side-Bedford-Stuyvesant,Upper West Side-Bedford-Stuyvesant,Year1,41
Year2Upper West Side-Bedford-Stuyvesant,Upper West Side-Bedford-Stuyvesant,Year2,10
Year3Upper West Side-Bedford-Stuyvesant,Upper West Side-Bedford-Stuyvesant,Year3,22
Year1Upper West Side-Boerum Hill,Upper West Side-Boerum Hill,Year1,32
Year2Upper West Side-Boerum Hill,Upper West Side-Boerum Hill,Year2,17
Year3Upper West Side-Boerum Hill,Upper West Side-Boerum Hill,Year3,32
Year1Upper West Side-Brooklyn Heights,Upper West Side-Brooklyn Heights,Year1,90
Year2Upper West Side-Brooklyn Heights,Upper West Side-Brooklyn Heights,Year2,111
Year3Upper West Side-Brooklyn Heights,Upper West Side-Brooklyn Heights,Year3,111
Year1Upper West Side-Central Park,Upper West Side-Central Park,Year1,1201
Year2Upper West Side-Central Park,Upper West Side-Central Park,Year2,1430
Year3Upper West Side-Central Park,Upper West Side-Central Park,Year3,27059
Year1Upper West Side-Chelsea,Upper West Side-Chelsea,Year1,12482
Year2Upper West Side-Chelsea,Upper West Side-Chelsea,Year2,14383
Year3Upper West Side-Chelsea,Upper West Side-Chelsea,Year3,34961
Year1Upper West Side-Chinatown,Upper West Side-Chinatown,Year1,346
Year2Upper West Side-Chinatown,Upper West Side-Chinatown,Year2,277
Year3Upper West Side-Chinatown,Upper West Side-Chinatown,Year3,518
Year1Upper West Side-Civic Center,Upper West Side-Civic Center,Year1,296
Year2Upper West Side-Civic Center,Upper West Side-Civic Center,Year2,273
Year3Upper West Side-Civic Center,Upper West Side-Civic Center,Year3,727
Year1Upper West Side-Clinton Hill,Upper West Side-Clinton Hill,Year1,43
Year2Upper West Side-Clinton Hill,Upper West Side-Clinton Hill,Year2,82
Year3Upper West Side-Clinton Hill,Upper West Side-Clinton Hill,Year3,49
Year1Upper West Side-Columbia St,Upper West Side-Columbia St,Year1,8
Year2Upper West Side-Columbia St,Upper West Side-Columbia St,Year2,1
Year3Upper West Side-Columbia St,Upper West Side-Columbia St,Year3,8
Year1Upper West Side-DUMBO,Upper West Side-DUMBO,Year1,39
Year2Upper West Side-DUMBO,Upper West Side-DUMBO,Year2,53
Year3Upper West Side-DUMBO,Upper West Side-DUMBO,Year3,97
Year1Upper West Side-Downtown Brooklyn,Upper West Side-Downtown Brooklyn,Year1,139
Year2Upper West Side-Downtown Brooklyn,Upper West Side-Downtown Brooklyn,Year2,79
Year3Upper West Side-Downtown Brooklyn,Upper West Side-Downtown Brooklyn,Year3,88
Year1Upper West Side-East Village,Upper West Side-East Village,Year1,2872
Year2Upper West Side-East Village,Upper West Side-East Village,Year2,1781
Year3Upper West Side-East Village,Upper West Side-East Village,Year3,3624
Year1Upper West Side-Financial District,Upper West Side-Financial District,Year1,1132
Year2Upper West Side-Financial District,Upper West Side-Financial District,Year2,1156
Year3Upper West Side-Financial District,Upper West Side-Financial District,Year3,3733
Year1Upper West Side-Flatiron District,Upper West Side-Flatiron District,Year1,1171
Year2Upper West Side-Flatiron District,Upper West Side-Flatiron District,Year2,1160
Year3Upper West Side-Flatiron District,Upper West Side-Flatiron District,Year3,3257
Year1Upper West Side-Fort Greene,Upper West Side-Fort Greene,Year1,265
Year2Upper West Side-Fort Greene,Upper West Side-Fort Greene,Year2,60
Year3Upper West Side-Fort Greene,Upper West Side-Fort Greene,Year3,101
Year3Upper West Side-Governors Island,Upper West Side-Governors Island,Year3,2
Year1Upper West Side-Gramercy,Upper West Side-Gramercy,Year1,1295
Year2Upper West Side-Gramercy,Upper West Side-Gramercy,Year2,1080
Year3Upper West Side-Gramercy,Upper West Side-Gramercy,Year3,2272
Year3Upper West Side-Greenpoint,Upper West Side-Greenpoint,Year3,133
Year1Upper West Side-Greenwich Village,Upper West Side-Greenwich Village,Year1,1834
Year2Upper West Side-Greenwich Village,Upper West Side-Greenwich Village,Year2,1677
Year3Upper West Side-Greenwich Village,Upper West Side-Greenwich Village,Year3,3585
Year1Upper West Side-Hells Kitchen,Upper West Side-Hells Kitchen,Year1,16901
Year2Upper West Side-Hells Kitchen,Upper West Side-Hells Kitchen,Year2,19588
Year3Upper West Side-Hells Kitchen,Upper West Side-Hells Kitchen,Year3,53848
Year1Upper West Side-Kips Bay,Upper West Side-Kips Bay,Year1,2173
Year2Upper West Side-Kips Bay,Upper West Side-Kips Bay,Year2,1608
Year3Upper West Side-Kips Bay,Upper West Side-Kips Bay,Year3,2561
Year3Upper West Side-Long Island City,Upper West Side-Long Island City,Year3,604
Year1Upper West Side-Lower East Side,Upper West Side-Lower East Side,Year1,960
Year2Upper West Side-Lower East Side,Upper West Side-Lower East Side,Year2,534
Year3Upper West Side-Lower East Side,Upper West Side-Lower East Side,Year3,1143
Year1Upper West Side-Midtown,Upper West Side-Midtown,Year1,24206
Year2Upper West Side-Midtown,Upper West Side-Midtown,Year2,25311
Year3Upper West Side-Midtown,Upper West Side-Midtown,Year3,73189
Year1Upper West Side-Murray Hill,Upper West Side-Murray Hill,Year1,1457
Year2Upper West Side-Murray Hill,Upper West Side-Murray Hill,Year2,1550
Year3Upper West Side-Murray Hill,Upper West Side-Murray Hill,Year3,4592
Year1Upper West Side-Navy Yard,Upper West Side-Navy Yard,Year1,19
Year2Upper West Side-Navy Yard,Upper West Side-Navy Yard,Year2,7
Year3Upper West Side-Navy Yard,Upper West Side-Navy Yard,Year3,5
Year1Upper West Side-NoHo,Upper West Side-NoHo,Year1,121
Year2Upper West Side-NoHo,Upper West Side-NoHo,Year2,60
Year3Upper West Side-NoHo,Upper West Side-NoHo,Year3,277
Year1Upper West Side-Nolita,Upper West Side-Nolita,Year1,372
Year2Upper West Side-Nolita,Upper West Side-Nolita,Year2,341
Year3Upper West Side-Nolita,Upper West Side-Nolita,Year3,841
Year1Upper West Side-Park Slope,Upper West Side-Park Slope,Year1,17
Year2Upper West Side-Park Slope,Upper West Side-Park Slope,Year2,16
Year3Upper West Side-Park Slope,Upper West Side-Park Slope,Year3,27
Year1Upper West Side-SoHo,Upper West Side-SoHo,Year1,1338
Year2Upper West Side-SoHo,Upper West Side-SoHo,Year2,1239
Year3Upper West Side-SoHo,Upper West Side-SoHo,Year3,3751
Year1Upper West Side-Stuyvesant Town,Upper West Side-Stuyvesant Town,Year1,649
Year2Upper West Side-Stuyvesant Town,Upper West Side-Stuyvesant Town,Year2,663
Year3Upper West Side-Stuyvesant Town,Upper West Side-Stuyvesant Town,Year3,1043
Year3Upper West Side-Sunset Park,Upper West Side-Sunset Park,Year3,1
Year1Upper West Side-Theater District,Upper West Side-Theater District,Year1,4509
Year2Upper West Side-Theater District,Upper West Side-Theater District,Year2,4651
Year3Upper West Side-Theater District,Upper West Side-Theater District,Year3,15843
Year1Upper West Side-Tribeca,Upper West Side-Tribeca,Year1,2432
Year2Upper West Side-Tribeca,Upper West Side-Tribeca,Year2,2617
Year3Upper West Side-Tribeca,Upper West Side-Tribeca,Year3,6634
Year1Upper West Side-Two Bridges,Upper West Side-Two Bridges,Year1,32
Year2Upper West Side-Two Bridges,Upper West Side-Two Bridges,Year2,33
Year3Upper West Side-Two Bridges,Upper West Side-Two Bridges,Year3,66
Year1Upper West Side-Upper East Side,Upper West Side-Upper East Side,Year1,323
Year2Upper West Side-Upper East Side,Upper West Side-Upper East Side,Year2,251
Year3Upper West Side-Upper East Side,Upper West Side-Upper East Side,Year3,30306
Year1Upper West Side-Upper West Side,Upper West Side-Upper West Side,Year1,8961
Year2Upper West Side-Upper West Side,Upper West Side-Upper West Side,Year2,11471
Year3Upper West Side-Upper West Side,Upper West Side-Upper West Side,Year3,114016
Year1Upper West Side-Vinegar Hill,Upper West Side-Vinegar Hill,Year1,26
Year2Upper West Side-Vinegar Hill,Upper West Side-Vinegar Hill,Year2,10
Year3Upper West Side-Vinegar Hill,Upper West Side-Vinegar Hill,Year3,23
Year1Upper West Side-West Village,Upper West Side-West Village,Year1,4417
Year2Upper West Side-West Village,Upper West Side-West Village,Year2,5545
Year3Upper West Side-West Village,Upper West Side-West Village,Year3,11699
Year1Upper West Side-Williamsburg,Upper West Side-Williamsburg,Year1,99
Year2Upper West Side-Williamsburg,Upper West Side-Williamsburg,Year2,60
Year3Upper West Side-Williamsburg,Upper West Side-Williamsburg,Year3,244
Year1Vinegar Hill-Battery Park City,Vinegar Hill-Battery Park City,Year1,124
Year2Vinegar Hill-Battery Park City,Vinegar Hill-Battery Park City,Year2,64
Year3Vinegar Hill-Battery Park City,Vinegar Hill-Battery Park City,Year3,130
Year1Vinegar Hill-Bedford-Stuyvesant,Vinegar Hill-Bedford-Stuyvesant,Year1,676
Year2Vinegar Hill-Bedford-Stuyvesant,Vinegar Hill-Bedford-Stuyvesant,Year2,564
Year3Vinegar Hill-Bedford-Stuyvesant,Vinegar Hill-Bedford-Stuyvesant,Year3,1223
Year1Vinegar Hill-Boerum Hill,Vinegar Hill-Boerum Hill,Year1,859
Year2Vinegar Hill-Boerum Hill,Vinegar Hill-Boerum Hill,Year2,601
Year3Vinegar Hill-Boerum Hill,Vinegar Hill-Boerum Hill,Year3,685
Year1Vinegar Hill-Brooklyn Heights,Vinegar Hill-Brooklyn Heights,Year1,1899
Year2Vinegar Hill-Brooklyn Heights,Vinegar Hill-Brooklyn Heights,Year2,1438
Year3Vinegar Hill-Brooklyn Heights,Vinegar Hill-Brooklyn Heights,Year3,2022
Year1Vinegar Hill-Central Park,Vinegar Hill-Central Park,Year1,2
Year2Vinegar Hill-Central Park,Vinegar Hill-Central Park,Year2,4
Year3Vinegar Hill-Central Park,Vinegar Hill-Central Park,Year3,5
Year1Vinegar Hill-Chelsea,Vinegar Hill-Chelsea,Year1,397
Year2Vinegar Hill-Chelsea,Vinegar Hill-Chelsea,Year2,286
Year3Vinegar Hill-Chelsea,Vinegar Hill-Chelsea,Year3,354
Year1Vinegar Hill-Chinatown,Vinegar Hill-Chinatown,Year1,1722
Year2Vinegar Hill-Chinatown,Vinegar Hill-Chinatown,Year2,1437
Year3Vinegar Hill-Chinatown,Vinegar Hill-Chinatown,Year3,1706
Year1Vinegar Hill-Civic Center,Vinegar Hill-Civic Center,Year1,672
Year2Vinegar Hill-Civic Center,Vinegar Hill-Civic Center,Year2,530
Year3Vinegar Hill-Civic Center,Vinegar Hill-Civic Center,Year3,950
Year1Vinegar Hill-Clinton Hill,Vinegar Hill-Clinton Hill,Year1,2612
Year2Vinegar Hill-Clinton Hill,Vinegar Hill-Clinton Hill,Year2,2058
Year3Vinegar Hill-Clinton Hill,Vinegar Hill-Clinton Hill,Year3,2664
Year1Vinegar Hill-Columbia St,Vinegar Hill-Columbia St,Year1,425
Year2Vinegar Hill-Columbia St,Vinegar Hill-Columbia St,Year2,388
Year3Vinegar Hill-Columbia St,Vinegar Hill-Columbia St,Year3,421
Year1Vinegar Hill-DUMBO,Vinegar Hill-DUMBO,Year1,2351
Year2Vinegar Hill-DUMBO,Vinegar Hill-DUMBO,Year2,1993
Year3Vinegar Hill-DUMBO,Vinegar Hill-DUMBO,Year3,2798
Year1Vinegar Hill-Downtown Brooklyn,Vinegar Hill-Downtown Brooklyn,Year1,2270
Year2Vinegar Hill-Downtown Brooklyn,Vinegar Hill-Downtown Brooklyn,Year2,1979
Year3Vinegar Hill-Downtown Brooklyn,Vinegar Hill-Downtown Brooklyn,Year3,2847
Year1Vinegar Hill-East Village,Vinegar Hill-East Village,Year1,773
Year2Vinegar Hill-East Village,Vinegar Hill-East Village,Year2,563
