trip_string,counts
LaGuardia Airport-Kips Bay,178351
LaGuardia Airport-SoHo,177697
Chelsea-Morningside Heights,176902
Theater District-Lower East Side,176490
Flatiron District-Lower East Side,175775
East Village-Harlem,175200
Morningside Heights-East Harlem,174439
Midtown-Civic Center,173275
Civic Center-Midtown,172320
Battery Park City-East Village,168378
Upper West Side-Lower East Side,168191
East Village-Greenpoint,167737
Midtown-Park Slope,167016
Financial District-Gramercy,166480
Lower East Side-Bedford-Stuyvesant,165991
SoHo-NoHo,165360
Central Park-Harlem,164998
NoHo-Murray Hill,164234
NoHo-Lower East Side,163413
John F. Kennedy International Airport-Long Island City,163035
LaGuardia Airport-East Harlem,161817
Lower East Side-Greenpoint,161199
LaGuardia Airport-Battery Park City,160492
John F. Kennedy International Airport-West Village,159933
West Village-Chinatown,159020
West Village-Harlem,158693
LaGuardia Airport-Gramercy,157496
Lower East Side-Theater District,156156
Financial District-Flatiron District,155980
Upper East Side-Sunnyside,154916
Midtown-Downtown Brooklyn,152199
SoHo-Chinatown,152026
Chelsea-Bedford-Stuyvesant,151727
NoHo-Tribeca,151332
Battery Park City-Greenwich Village,150580
East Village-Astoria,150324
NoHo-Hell's Kitchen,149887
Hell's Kitchen-Williamsburg,149722
Stuyvesant Town-Murray Hill,149080
Tribeca-Williamsburg,149003
John F. Kennedy International Airport-SoHo,148586
Midtown-Bedford-Stuyvesant,146792
Financial District-Williamsburg,146734
Gramercy-Stuyvesant Town,146185
LaGuardia Airport-Tribeca,146074
Tribeca-Chinatown,145949
East Village-John F. Kennedy International Airport,145463
Little Italy-Midtown,144826
NoHo-Upper West Side,144399
Civic Center-Financial District,144364
LaGuardia Airport-Greenwich Village,143642
NoHo-Financial District,143215
Nolita-Williamsburg,141779
Nolita-Upper East Side,141263
Tribeca-Kips Bay,141001
Kips Bay-LaGuardia Airport,140802
East Harlem-Chelsea,140775
Sunnyside-Midtown,139586
John F. Kennedy International Airport-LaGuardia Airport,139450
Murray Hill-Central Park,139275
Kips Bay-Stuyvesant Town,139010
Theater District-Astoria,138859
Harlem-Hell's Kitchen,138837
Murray Hill-East Harlem,138768
Gramercy-Williamsburg,138011
John F. Kennedy International Airport-Jamaica,137717
Chinatown-Lower East Side,137513
John F. Kennedy International Airport-Bedford-Stuyvesant,137478
NoHo-Kips Bay,137303
LaGuardia Airport-John F. Kennedy International Airport,135769
Lower East Side-Chinatown,134722
East Village-Bushwick,134233
Harlem-Washington Heights,133340
Lower East Side-Bushwick,133218
Washington Heights-Washington Heights,132796
Upper West Side-Astoria,132525
John F. Kennedy International Airport-South Ozone Park,132096
Murray Hill-Battery Park City,132043
John F. Kennedy International Airport-Harlem,131609
East Harlem-Hell's Kitchen,131432
Midtown-Little Italy,131222
John F. Kennedy International Airport-Crown Heights,130853
West Village-LaGuardia Airport,129375
Chelsea-Greenpoint,128890
Chelsea-Park Slope,128854
Stuyvesant Town-Gramercy,128622
Kips Bay-Tribeca,128082
Hell's Kitchen-Long Island City,127764
Gramercy-LaGuardia Airport,126751
Morningside Heights-Hell's Kitchen,126664
Kips Bay-East Harlem,126565
East Village-Long Island City,126021
Astoria-Ditmars Steinway,125393
Upper West Side-Inwood,125306
Financial District-John F. Kennedy International Airport,125263
Greenwich Village-Nolita,123591
East Harlem-Central Park,122266
Greenwich Village-Chinatown,121403
Sunnyside-Long Island City,121371
Midtown-Forest Hills,121219
Battery Park City-Murray Hill,121080
Greenpoint-Greenpoint,120919
John F. Kennedy International Airport-Astoria,120847
Theater District-Long Island City,120224
