FY,trip_string,total_trips
Year1,Rosebank-Theater District,1
Year0,Sunnyside-Manhattan Beach,1
Year1,Spuyten Duyvil-Claremont Village,1
Year3,Olinville-Belmont,1
Year2,New Dorp-Dyker Heights,1
Year2,Brighton Beach-Randall's Island,1
Year1,Great Kills-Hell's Kitchen,1
Year2,Boerum Hill-Pelham Bay,1
Year2,Oakwood-New Dorp Beach,1
Year2,South Beach-Upper West Side,1
Year3,Mount Eden-Castle Hill,1
Year2,Woodhaven-Financial District,1
Year2,Cambria Heights-East Flatbush,1
Year0,Bellerose-Borough Park,1
Year0,Manhattan Beach-Prospect Heights,1
Year2,Williamsburg-Richmondtown,1
Year0,South Ozone Park-Huguenot,1
Year0,Bedford-Stuyvesant-Arrochar,1
Year3,Todt Hill-Midland Beach,1
Year0,Harlem-Freshkills Park,1
Year3,Kew Gardens Hills-Inwood,1
Year0,Allerton-Boerum Hill,1
Year1,Concord-NoHo,1
Year2,Inwood-New Dorp,1
Year0,Stuyvesant Town-Westerleigh,1
Year1,Marble Hill-Westchester Square,1
Year1,Edenwald-Claremont Village,1
Year0,Brighton Beach-Mill Basin,1
Year0,Broad Channel-Kensington,1
Year2,Flatlands-University Heights,1
Year1,Canarsie-Highbridge,1
Year3,NoHo-Huguenot,1
Year1,Mill Basin-Tribeca,1
Year3,Edgemere-Rockaway Park,1
Year3,Unionport-Sunnyside,1
Year1,East Morrisania-Jamaica,1
Year3,Longwood-Flushing Meadows Corona Park,1
Year2,Silver Lake-Financial District,1
FY,trip_string,total_trips
Year1,Flatiron District-Chelsea,340845
Year1,Theater District-Lower East Side,47048
Year1,Ditmars Steinway-Astoria,21690
Year1,Upper West Side-Mount Hope,1384
Year1,Kips Bay-Long Island City,18163
Year1,Astoria-Midtown,35105
Year1,West Village-Fordham,661
Year1,Lower East Side-Elmhurst,3345
Year1,East Harlem-Kips Bay,15419
Year1,Tribeca-Windsor Terrace,2203
Year1,Sunset Park-Fort Hamilton,471
Year1,Ditmars Steinway-Upper West Side,2680
Year1,John F. Kennedy International Airport-Park Hill,114
Year1,Central Park-Greenpoint,1881
Year0,Financial District-Financial District,173197
Year0,East Village-Flatiron District,125472
Year0,Upper West Side-East Harlem,315909
Year3,Sunnyside-Astoria,16694
Year0,West Village-Chinatown,42377
Year3,Murray Hill-West Village,79379
Year3,Carroll Gardens-Civic Center,1476
Year0,Midtown-Civic Center,48674
Year0,Upper East Side-Greenwich Village,204470
Year0,Sunnyside-Midtown,47645
Year0,Midtown-Downtown Brooklyn,43327
Year0,Elmhurst-Bushwick,241
Year3,Chelsea-Cobble Hill,8570
Year0,Upper West Side-Clinton Hill,4362
Year3,Midtown-Briarwood,2777
Year3,Midtown-Flushing Meadows Corona Park,3265
Year3,LaGuardia Airport-Park Slope,25055
Year3,Financial District-LaGuardia Airport,58657
Year2,Greenwich Village-Flatiron District,77181
Year2,Midtown-Theater District,1246050
Year2,Hell's Kitchen-Cobble Hill,3025
Year2,Greenwich Village-Tribeca,99864
Year2,Harlem-Morningside Heights,70281
Year2,Greenpoint-Chelsea,3135
Year2,Chelsea-Cobble Hill,9220
Year2,Harlem-Mott Haven,7018
Year2,Midtown-DUMBO,19243
Year2,Harlem-John F. Kennedy International Airport,7533
Year2,Clinton Hill-Lower East Side,1272
Year2,LaGuardia Airport-Morningside Heights,21947
Year2,Washington Heights-East Harlem,6637
Year2,Bushwick-Prospect-Lefferts Gardens,533
Year2,Upper West Side-Ditmars Steinway,10992
Year2,Williamsburg-Jamaica Hills,35
Year2,Flatiron District-Little Italy,4737
Year2,Long Island City-Fresh Meadows,182
Year2,Washington Heights-East Village,1102
Year0,LaGuardia Airport-Highbridge,923
Year0,Chelsea-Corona,2314
Year0,Cobble Hill-Cobble Hill,3320
Year1,Harlem-Unionport,277
Year1,Downtown Brooklyn-West Village,7064
Year0,Chelsea-South Ozone Park,2221
Year1,Gramercy-Marble Hill,49
Year0,Inwood-Inwood,2900
Year2,Fort Greene-Navy Yard,675
Year2,Bushwick-East Flatbush,375
Year2,Boerum Hill-Hell's Kitchen,1126
Year2,Crown Heights-Windsor Terrace,313
Year0,Murray Hill-Randall's Island,971
Year0,Battery Park City-Central Park,7576
Year0,West Village-Stuyvesant Town,28680
Year0,Gramercy-Long Island City,13561
Year0,Prospect Heights-SoHo,1874
Year2,Flushing-Richmond Hill,120
Year0,Theater District-Springfield Gardens,642
Year0,Elmhurst-Williamsburg,651
Year0,Hell's Kitchen-Maspeth,4815
Year0,LaGuardia Airport-Ozone Park,1751
Year0,Upper West Side-Forest Park,171
Year0,East Harlem-Tompkinsville,3
Year0,Dyker Heights-Crown Heights,6
Year0,Two Bridges-Claremont Village,6
Year1,Williamsburg-Longwood,164
Year1,Gowanus-Columbia St,450
Year1,John F. Kennedy International Airport-Floral Park,1506
Year2,Boerum Hill-Battery Park City,746
Year3,East Harlem-Parkchester,1778
Year3,Two Bridges-Two Bridges,1687
Year3,John F. Kennedy International Airport-Middle Village,4287
Year3,Prospect Heights-Bushwick,1234
Year3,Gramercy-Carroll Gardens,3691
Year3,Harlem-Sunnyside,532
Year0,East Harlem-Woodside,1993
Year0,Astoria-Mott Haven,731
Year0,Sunset Park-Hell's Kitchen,319
Year0,LaGuardia Airport-Dyker Heights,843
Year1,Astoria-Chinatown,505
Year1,Lower East Side-East Flatbush,1779
Year1,SoHo-Fort Hamilton,1587
Year1,Upper East Side-Ozone Park,1165
Year0,Flatiron District-Coney Island,90
Year3,Chinatown-Ridgewood,725
Year3,Chelsea-Fort Hamilton,4204
Year0,Chelsea-Bellerose,220
Year1,Concourse Village-East Village,21
Year0,NoHo-Ditmars Steinway,1632
Year0,Murray Hill-South Ozone Park,1017
Year1,Richmond Hill-Elmhurst,62
Year1,SoHo-Dyker Heights,516
Year0,Financial District-Brighton Beach,986
Year3,Greenwich Village-Corona,657
Year3,Morningside Heights-Bedford-Stuyvesant,273
Year3,Park Slope-Inwood,42
Year2,Long Island City-Concourse Village,410
Year3,South Slope-Cobble Hill,239
Year3,Bushwick-Sunnyside,314
Year3,Battery Park City-Sunset Park,1438
Year3,Upper East Side-Jamaica Estates,708
Year3,Financial District-Queens Village,215
Year3,Park Slope-Astoria,593
Year3,Fort Greene-Cypress Hills,184
Year3,Mount Eden-Kingsbridge,40
Year3,Crown Heights-Windsor Terrace,190
Year3,Upper West Side-Unionport,537
Year1,East Elmhurst-Richmond Hill,254
Year0,Prospect Park-Prospect Park,1132
Year0,Mount Hope-Upper East Side,38
Year0,Sunset Park-Red Hook,263
Year2,Melrose-Midtown,75
Year3,Greenpoint-Sunset Park,592
Year3,Kew Gardens Hills-Flushing,163
Year2,Elmhurst-Gramercy,176
Year3,Kensington-Cypress Hills,11
Year1,Lower East Side-Bath Beach,301
Year1,Financial District-West Brighton,99
Year0,Theater District-Rockaway Beach,21
Year3,Elmhurst-Long Island City,1422
Year2,Crown Heights-Civic Center,72
Year1,Midtown-Emerson Hill,257
Year1,Tribeca-Unionport,89
Year3,Jackson Heights-Park Slope,40
Year2,Forest Hills-Long Island City,326
Year2,Brownsville-Prospect Heights,13
Year0,Longwood-Williamsbridge,9
Year0,Elmhurst-Tribeca,157
Year0,Washington Heights-Chinatown,218
Year0,Windsor Terrace-Gravesend,33
Year1,Nolita-Pelham Bay,46
Year0,Harlem-Fordham,1066
Year0,Jamaica Estates-Midtown,41
Year0,Gowanus-Gravesend,109
Year0,Jackson Heights-Parkchester,84
Year0,Bushwick-Chinatown,230
Year1,Bay Ridge-Fort Hamilton,500
Year1,East New York-Canarsie,113
Year1,Baychester-Fordham,10
