FY,trip_string,total_trips
Year3,LaGuardia Airport-Flushing,29739
Year3,Upper East Side-Lower East Side,78041
Year3,Battery Park City-Bay Ridge,1021
Year3,Financial District-Astoria,8579
Year3,Theater District-Dyker Heights,710
Year3,East Village-Sheepshead Bay,1364
Year1,Crown Heights-Midtown,1427
Year2,Prospect Park-Park Slope,931
Year0,Gramercy-Red Hook,740
Year0,Park Slope-Red Hook,2003
Year3,Hell's Kitchen-Woodlawn,1367
Year3,Fort Greene-Carroll Gardens,2219
Year3,Battery Park City-Williamsburg,7962
Year3,Prospect Heights-Boerum Hill,1494
Year1,Canarsie-Upper East Side,17
Year3,Maspeth-Hell's Kitchen,250
Year3,Midtown-Jamaica,3733
Year3,Financial District-Coney Island,187
Year2,Bedford-Stuyvesant-Gowanus,1072
Year2,Glendale-Crown Heights,11
Year2,Gowanus-Civic Center,151
Year2,DUMBO-Chinatown,628
Year2,East Harlem-Parkchester,1646
Year0,NoHo-Clason Point,10
Year0,Downtown Brooklyn-Washington Heights,455
Year3,Flatiron District-Two Bridges,1096
Year3,DUMBO-Gramercy,473
Year3,Greenpoint-Park Slope,1047
Year3,Harlem-Greenpoint,448
Year3,Woodside-Rego Park,458
Year3,Downtown Brooklyn-Inwood,107
Year3,Jackson Heights-Upper West Side,307
Year3,East Harlem-Carroll Gardens,177
Year0,Theater District-Clason Point,217
Year3,Financial District-Woodlawn,134
Year1,Port Morris-Astoria,98
Year1,SoHo-Kew Gardens,349
Year1,Fresh Meadows-Fresh Meadows,252
Year1,Sunset Park-Sheepshead Bay,231
Year0,Hell's Kitchen-Vinegar Hill,887
Year0,Kips Bay-Jamaica,436
Year0,Bushwick-Maspeth,263
Year0,Harlem-Greenpoint,943
Year2,Longwood-Harlem,448
Year2,Rego Park-Ridgewood,169
Year1,Mott Haven-LaGuardia Airport,221
Year1,South Slope-Civic Center,126
Year3,Gramercy-Bayside,208
Year1,Prospect Park-Park Slope,950
Year0,Kensington-Chelsea,424
Year1,Harlem-Maspeth,181
Year2,Central Park-Longwood,272
Year2,Highbridge-Financial District,6
Year0,Central Park-Port Morris,153
Year3,DUMBO-Nolita,276
Year3,Downtown Brooklyn-Prospect-Lefferts Gardens,942
Year3,Harlem-North Riverdale,239
Year0,Sunset Park-Greenpoint,253
Year1,Flatbush-John F. Kennedy International Airport,317
Year3,Two Bridges-Kensington,34
Year0,LaGuardia Airport-Breezy Point,90
Year0,Briarwood-Central Park,58
Year3,Crown Heights-Battery Park City,61
Year1,Flushing Meadows Corona Park-Forest Hills,155
Year3,Brooklyn Heights-East Flatbush,330
Year2,Flatiron District-Castleton Corners,13
Year3,Van Nest-Van Nest,104
Year2,Mott Haven-Williamsbridge,53
Year3,Upper East Side-Bath Beach,415
Year2,Bay Terrace-Bay Terrace,56
Year2,Rego Park-Chelsea,273
Year0,Mott Haven-Hell's Kitchen,254
Year0,Prospect-Lefferts Gardens-Borough Park,88
Year1,Rego Park-Upper West Side,316
Year0,Tribeca-Howard Beach,77
Year1,Tribeca-Middle Village,427
Year1,Financial District-New Springville,64
Year1,West Village-Randall Manor,30
Year1,West Village-Schuylerville,90
Year1,Gramercy-Bellerose,52
Year2,Midtown-Gerritsen Beach,119
Year2,Central Park-Sunset Park,258
Year3,Canarsie-Flatlands,84
Year0,Chelsea-Huguenot,38
Year1,East Harlem-Jamaica,361
Year1,Two Bridges-Greenpoint,141
Year1,Bensonhurst-Chelsea,27
Year1,West Village-Latourette Park,43
Year2,Ditmars Steinway-Middle Village,146
Year2,Lower East Side-Westchester Square,78
Year2,Prospect Park-Midwood,56
Year3,Chelsea-Floral Park,89
Year0,Astoria-Inwood,438
Year2,Crown Heights-Coney Island,21
Year1,Financial District-Bellerose,107
Year1,Upper East Side-Co-op City,787
Year3,Columbia St-Cobble Hill,181
Year1,East Flatbush-Glendale,1
Year3,Fort Hamilton-Gowanus,9
Year1,SoHo-Randall's Island,222
Year3,Cypress Hills-Clinton Hill,20
Year3,Maspeth-Bellerose,8
Year1,Kingsbridge-Port Morris,16
Year1,West Village-Soundview,280
Year1,Highbridge-Belmont,17
Year3,East Village-Gerritsen Beach,65
Year0,Flatiron District-Morrisania,142
Year1,East Harlem-Ozone Park,86
Year0,Tribeca-Grymes Hill,30
Year0,Nolita-Midwood,187
Year2,Rego Park-DUMBO,9
Year1,Middle Village-Forest Hills,117
Year1,Central Park-Van Cortlandt Park,34
Year0,Nolita-Claremont Village,18
Year3,Greenpoint-Corona,137
Year2,Theater District-Concord,63
Year1,Claremont Village-Morrisania,34
Year1,Baychester-Upper East Side,3
Year0,West Village-University Heights,288
Year3,Hell's Kitchen-Mill Basin,108
Year2,Upper East Side-Brownsville,529
Year2,Fort Hamilton-John F. Kennedy International Airport,61
Year1,Sunnyside-Jamaica Hills,59
Year2,Brooklyn Heights-Jackson Heights,293
Year0,Columbia St-Grymes Hill,1
Year3,South Ozone Park-Civic Center,42
Year1,Borough Park-Boerum Hill,32
Year1,Bayside-Alley Pond Park,4
Year1,Richmond Hill-Flushing,57
Year1,Brighton Beach-Gravesend,67
Year0,Fort Greene-Forest Hills,237
Year0,Kensington-Columbia St,16
Year3,NoHo-Richmond Hill,49
Year0,Kensington-Civic Center,165
Year2,Jamaica-Roosevelt Island,38
Year3,Elmhurst-Morris Park,5
Year2,Prospect Park-Red Hook,60
Year1,Rego Park-Bushwick,137
Year3,Richmond Hill-Washington Heights,39
Year3,Maspeth-Lower East Side,86
Year0,Morrisania-Fieldston,1
Year3,Edenwald-Long Island City,1
Year0,Astoria-Forest Park,90
Year2,Gowanus-Vinegar Hill,89
Year3,Claremont Village-Longwood,70
Year0,Brownsville-Red Hook,2
Year1,Roosevelt Island-Bushwick,31
Year2,Fort Hamilton-Midtown,49
Year0,Roosevelt Island-Chinatown,37
Year2,Civic Center-Pelham Bay,15
Year1,Crown Heights-Nolita,155
Year3,"Theater District-Chelsea, Staten Island",13
Year3,Battery Park City-Van Nest,18
Year2,Chelsea-Oakwood,48
Year2,Flushing-Ozone Park,26
Year3,Flatiron District-Rockaway Park,22
Year0,Unionport-Throgs Neck,52
Year0,Port Morris-Hunts Point,71
Year0,Morningside Heights-City Island,17
Year1,Sheepshead Bay-Gramercy,11
Year1,Financial District-Willowbrook,9
Year1,Mount Hope-East Flatbush,1
Year2,Woodside-DUMBO,38
Year0,Bedford-Stuyvesant-Cypress Hills,243
Year2,Queens Village-Theater District,13
Year2,Tribeca-Mount Eden,85
Year2,Williamsburg-Belmont,21
Year0,Brooklyn Heights-Morrisania,3
Year3,Gowanus-Brownsville,56
Year0,Westchester Square-Morningside Heights,3
Year1,Tribeca-Bergen Beach,55
Year3,Allerton-East Harlem,18
Year0,Morrisania-Belmont,13
Year1,Bayside-Whitestone,20
Year1,Jackson Heights-Soundview,47
Year3,Chinatown-Arverne,5
Year2,South Beach-South Beach,26
Year3,SoHo-East Morrisania,45
Year1,East New York-Throgs Neck,2
Year2,Jackson Heights-East New York,35
Year0,Murray Hill-South Beach,11
Year0,Theater District-Shore Acres,47
Year2,Randall's Island-Co-op City,3
Year0,East Village-Clifton,22
Year0,Inwood-Mount Eden,42
Year3,Little Italy-South Ozone Park,28
Year3,Hollis-Holliswood,4
Year1,Maspeth-Fort Greene,43
Year0,South Ozone Park-Fresh Meadows,8
Year1,Bellerose-Astoria,5
Year2,Midwood-Coney Island,16
Year0,Maspeth-Downtown Brooklyn,71
Year0,South Ozone Park-Bayside,17
Year1,LaGuardia Airport-New Dorp,24
Year1,Baychester-Marble Hill,1
Year3,Schuylerville-Unionport,9
Year1,Dyker Heights-Jackson Heights,3
Year0,Upper West Side-Park Hill,17
Year0,Richmond Hill-Gramercy,38
Year2,Brighton Beach-Manhattan Beach,25
Year3,Flatbush-Sunnyside,19
Year3,Gramercy-Pelham Bay,104
Year2,SoHo-Westchester Square,35
Year0,Jamaica-Bergen Beach,2
Year3,Morningside Heights-Bath Beach,9
Year0,Corona-Soundview,4
Year3,Howard Beach-Battery Park City,21
Year3,Kew Gardens-Williamsbridge,1
Year0,Hell's Kitchen-Stapleton,21
Year3,Flatiron District-Latourette Park,1
Year3,North Riverdale-Concourse,2
Year1,Roosevelt Island-DUMBO,8
Year1,Upper East Side-Huguenot,9
Year3,Riverdale-Spuyten Duyvil,36
Year1,Carroll Gardens-Belle Harbor,4
Year1,Jamaica-Bensonhurst,4
Year0,Gravesend-Inwood,1
Year1,Long Island City-Rosedale,49
Year1,Soundview-Van Cortlandt Park,1
Year2,LaGuardia Airport-Park Hill,28
Year0,South Ozone Park-South Slope,17
Year1,Longwood-Greenwich Village,9
Year1,Spuyten Duyvil-Park Slope,1
Year2,Jackson Heights-Port Morris,70
Year2,Little Italy-Hunts Point,6
Year3,Two Bridges-Mott Haven,51
Year0,Forest Hills-Holliswood,35
Year2,Mount Eden-Woodside,3
Year2,Parkchester-Morrisania,22
Year3,Whitestone-Fort Greene,3
Year0,Red Hook-Shore Acres,1
Year2,Crown Heights-Fordham,10
Year0,Tribeca-Jamaica Bay,1
Year3,Pelham Gardens-Bronx Park,1
Year3,Carroll Gardens-Rego Park,16
Year3,Rosedale-Midtown,11
Year2,Bronxdale-Mott Haven,5
Year0,Boerum Hill-Belle Harbor,7
Year0,Financial District-Rockaway Beach,22
Year3,Marine Park-Bergen Beach,9
Year0,Chelsea-Latourette Park,18
Year0,Ditmars Steinway-Vinegar Hill,12
Year1,Norwood-Claremont Village,13
Year0,Middle Village-Dyker Heights,1
Year3,Coney Island-Bensonhurst,2
Year3,Greenpoint-Jamaica Estates,32
Year0,Howland Hook-Huguenot,1
Year3,Flatlands-Chinatown,3
Year3,Ridgewood-West Village,13
Year3,Port Morris-East Morrisania,37
Year1,Rikers Island-Ditmars Steinway,5
Year3,Bushwick-Bellerose,4
Year1,Bedford-Stuyvesant-Fresh Meadows,17
Year0,Inwood-Civic Center,7
Year2,Mount Hope-Bronxdale,8
Year3,Randall's Island-Howard Beach,1
Year1,Carroll Gardens-Glendale,25
Year1,Morris Heights-West Village,11
Year0,Bensonhurst-Tribeca,15
Year2,Brooklyn Heights-Arrochar,4
Year2,Battery Park City-Edenwald,2
Year3,Bath Beach-Upper East Side,5
Year0,Park Slope-Randall Manor,1
Year2,College Point-Fresh Meadows,3
Year1,Astoria-Far Rockaway,7
Year1,Cypress Hills-East Harlem,15
Year3,Pelham Bay-South Ozone Park,1
Year3,Prospect Park-Stuyvesant Town,11
Year0,Bensonhurst-Civic Center,7
Year2,Rosedale-Crown Heights,8
Year3,Greenwich Village-Edgemere,1
Year1,Flatiron District-Gerritsen Beach,15
Year3,Flatlands-Windsor Terrace,5
Year1,Kensington-East Elmhurst,19
Year3,Prospect-Lefferts Gardens-Floyd Bennett Field,3
Year0,South Ozone Park-Far Rockaway,7
Year2,Ozone Park-Upper West Side,27
Year2,Theater District-Ferry Point Park,5
Year1,East New York-Kew Gardens Hills,3
Year0,Schuylerville-Murray Hill,3
Year0,Bath Beach-Brighton Beach,19
Year0,East Flatbush-Cobble Hill,3
Year1,NoHo-Van Cortlandt Park,14
Year0,West Farms-Belmont,20
Year1,Prospect Heights-Queens Village,8
Year1,Middle Village-Central Park,4
Year0,Unionport-Claremont Village,4
Year3,Concourse-Boerum Hill,4
Year0,Randall Manor-Upper East Side,4
Year1,Jamaica Hills-Elmhurst,16
Year1,Kips Bay-Crotona Park,5
Year2,Pelham Bay-Edenwald,2
Year3,Olinville-Williamsbridge,7
Year0,Glendale-Corona,11
Year2,Borough Park-Jamaica,2
Year3,Cypress Hills-Elmhurst,14
Year2,Bronx Park-Inwood,8
Year0,Allerton-Throgs Neck,3
Year1,Allerton-Civic Center,1
Year2,Pelham Bay-Ferry Point Park,1
Year2,University Heights-Bronxdale,10
Year1,Floyd Bennett Field-Lower East Side,3
Year0,Cypress Hills-Washington Heights,2
Year2,Kensington-Arrochar,1
Year0,Maspeth-Glen Oaks,1
Year0,Forest Hills-Longwood,5
Year1,Claremont Village-Williamsbridge,9
Year1,East Elmhurst-Morris Heights,12
Year0,Whitestone-Stuyvesant Town,2
Year2,East New York-Bayswater,1
Year2,Bayswater-Jackson Heights,1
Year1,Kingsbridge-Unionport,10
Year3,Nolita-Woodlawn,27
Year1,Stuyvesant Town-Olinville,3
Year1,West Village-New Springville,32
Year2,Hunts Point-Morris Heights,4
Year2,Bushwick-Concourse Village,5
Year3,Whitestone-Schuylerville,2
Year3,Stuyvesant Town-Gerritsen Beach,5
Year0,University Heights-Woodlawn,2
Year0,Carroll Gardens-Floyd Bennett Field,7
Year3,Melrose-Morris Park,4
Year0,Concourse-Country Club,1
Year2,Baychester-Williamsbridge,18
Year2,Greenpoint-Schuylerville,5
Year3,Riverdale-Stuyvesant Town,1
Year2,Randall's Island-Little Italy,2
Year3,West Farms-Pelham Bay,3
Year2,Melrose-LaGuardia Airport,25
Year0,Bronxdale-Woodlawn,2
Year0,Van Cortlandt Park-Bedford-Stuyvesant,1
Year3,"Kips Bay-Bay Terrace, Staten Island",2
Year2,Inwood-East New York,7
Year3,Bronx Park-Pelham Gardens,2
Year0,Tribeca-Eltingville,9
Year3,Washington Heights-Crotona Park,11
Year0,Rikers Island-Upper West Side,13
Year3,Brownsville-East Elmhurst,5
Year3,Flatbush-Central Park,10
Year3,Central Park-Jamaica Hills,14
Year3,SoHo-Broad Channel,3
Year3,Baychester-Washington Heights,2
Year3,Kew Gardens-Cypress Hills,11
Year3,Port Morris-Roosevelt Island,3
Year2,Coney Island-Kensington,2
Year2,Sunset Park-Howard Beach,5
Year2,Hunts Point-Van Nest,2
Year2,Long Island City-Rockaway Beach,8
Year1,Upper East Side-Rikers Island,4
Year0,Brooklyn Heights-Co-op City,5
Year2,Concord-Hunts Point,1
Year0,Morrisania-Greenwich Village,2
Year3,Long Island City-St. George,2
Year1,Chinatown-Crotona Park,2
Year1,Woodside-Rockaway Park,3
Year1,Stuyvesant Town-Cunningham Park,2
Year0,Allerton-Central Park,3
Year1,Mott Haven-Bergen Beach,2
Year2,Mill Basin-East Village,1
Year0,Two Bridges-Van Cortlandt Park,2
Year3,Flushing-Ferry Point Park,3
Year3,Sheepshead Bay-Ozone Park,2
Year2,Hollis-Kew Gardens,2
Year2,Woodside-Van Cortlandt Park,6
Year0,East Harlem-Manhattan Beach,4
Year1,Boerum Hill-Belmont,4
Year3,Ditmars Steinway-Schuylerville,7
Year2,Crown Heights-Eastchester,1
Year3,Windsor Terrace-Latourette Park,1
Year0,East New York-Little Italy,2
Year2,Manhattan Beach-Mill Basin,1
Year0,Parkchester-City Island,1
Year1,Cunningham Park-Midtown,5
Year3,Randall's Island-Sunset Park,3
Year2,Concourse-Dyker Heights,1
Year2,Midtown-Rikers Island,3
Year1,Pelham Bay-West Farms,3
Year2,Sunset Park-Hunts Point,1
Year1,Brownsville-Central Park,2
Year3,Jamaica Estates-Inwood,2
Year0,Kingsbridge-Clason Point,4
Year0,Flatlands-Coney Island,2
Year1,Navy Yard-Inwood,1
Year2,DUMBO-New Dorp,1
Year2,Port Morris-Glendale,1
Year0,Arrochar-Bay Ridge,2
Year1,Bushwick-Co-op City,3
Year2,Kew Gardens-Prospect Heights,3
Year1,Washington Heights-Rockaway Beach,1
Year3,Richmond Hill-Holliswood,2
Year3,Flushing-Kensington,5
Year1,Rikers Island-East Harlem,1
Year1,Mott Haven-Jamaica,6
Year0,Flatlands-Glendale,1
Year3,Riverdale-Concourse Village,1
Year2,Canarsie-College Point,1
Year0,NoHo-Westerleigh,2
Year2,Van Cortlandt Park-Lower East Side,1
Year1,Baychester-Boerum Hill,1
Year3,West Village-Great Kills Park,1
Year3,Clason Point-East New York,1
Year0,Stuyvesant Town-Van Nest,6
Year0,Harlem-Bayswater,1
Year1,Prospect-Lefferts Gardens-Cambria Heights,2
Year2,Van Cortlandt Park-Pelham Bay,1
Year1,Roosevelt Island-Eastchester,1
Year3,Bensonhurst-New Dorp,1
Year0,Red Hook-Canarsie,1
Year1,New Brighton-New Brighton,1
Year0,Roosevelt Island-Floyd Bennett Field,1
Year0,Gravesend-Ridgewood,1
Year1,Woodlawn-Port Morris,1
Year2,Bushwick-Country Club,1
Year3,Crown Heights-University Heights,1
Year1,Clifton-Graniteville,1
Year3,Richmond Hill-Rockaway Beach,2
Year2,Hollis Hills-Flushing,2
Year3,Briarwood-Castle Hill,1
Year3,Port Morris-Little Italy,2
Year3,Brighton Beach-DUMBO,2
Year1,Pelham Bay Park-Bushwick,1
Year3,South Beach-Central Park,1
Year0,Howard Beach-Forest Hills,3
Year3,Flatlands-Sunnyside,2
Year2,North Riverdale-Olinville,1
Year0,Bushwick-Manhattan Beach,1
Year2,West Brighton-Tompkinsville,1
Year0,Claremont Village-Unionport,2
Year3,Morningside Heights-Dongan Hills,1
Year2,Mott Haven-Flushing Meadows Corona Park,1
Year3,Soundview-St. Albans,1
Year2,Richmondtown-Shore Acres,1
Year2,Woodhaven-Springfield Gardens,2
Year2,East Morrisania-Mount Eden,9
Year3,Wakefield-Clason Point,3
Year3,Gowanus-St. Albans,1
Year3,New Brighton-Upper East Side,1
Year0,Castle Hill-Bronxdale,2
Year3,Sunset Park-Mill Basin,4
Year1,Kew Gardens-Flatlands,2
Year1,Bayside-West Village,1
Year2,Todt Hill-South Beach,1
Year0,Maspeth-Unionport,4
Year1,Kew Gardens-Claremont Village,1
Year2,Coney Island-Astoria,1
Year1,Dyker Heights-Flatiron District,1
Year1,Prospect-Lefferts Gardens-St. George,1
Year2,Sunnyside-Huguenot,1
Year0,Central Park-Woodrow,1
Year1,Crotona Park-Chelsea,2
Year0,Allerton-Flatbush,1
Year0,Flatiron District-Cunningham Park,3
Year2,Marine Park-Upper East Side,1
Year2,Kew Gardens Hills-Alley Pond Park,2
Year1,Highbridge-Bronx Park,4
Year2,Shore Acres-Chinatown,1
Year3,Columbia St-Kew Gardens Hills,1
Year1,Governors Island-Rego Park,1
Year1,University Heights-Downtown Brooklyn,1
Year1,Fort Greene-South Beach,1
Year3,Middle Village-Chinatown,2
Year0,Richmond Hill-Bayswater,1
Year2,Green-Wood Cemetery-Bensonhurst,2
Year1,Morningside Heights-Rockaway Park,1
Year2,Kew Gardens-Highbridge,2
Year1,Howard Beach-Gowanus,1
Year1,Bushwick-Rockaway Park,1
Year1,Clinton Hill-Jamaica Hills,1
Year1,Flushing Meadows Corona Park-Douglaston,2
Year0,Cunningham Park-Kips Bay,1
Year0,Columbia St-Hollis Hills,2
Year1,Claremont Village-Chinatown,1
Year0,Belmont-Prospect Heights,1
Year2,Flushing Meadows Corona Park-Pelham Bay,1
Year3,Ridgewood-Marble Hill,1
Year0,Cobble Hill-Governors Island,1
Year1,St. Albans-Elmhurst,1
Year1,Jamaica Hills-Douglaston,1
Year0,Van Cortlandt Park-Chelsea,1
Year0,Pelham Bay Park-Fordham,1
FY,trip_string,total_trips
Year1,Hell's Kitchen-Upper West Side,970860
Year1,Theater District-Tribeca,75038
Year1,SoHo-Tribeca,168958
Year1,Boerum Hill-Long Island City,702
Year1,NoHo-Chinatown,16314
Year1,Sunnyside-Williamsburg,5671
Year1,Williamsburg-Crown Heights,35500
Year1,Sunset Park-Park Slope,2857
Year1,Boerum Hill-SoHo,2516
Year1,LaGuardia Airport-Maspeth,6568
Year1,Sunset Park-Brighton Beach,87
Year2,Theater District-Hell's Kitchen,505437
Year3,Greenwich Village-East Village,241453
Year2,Long Island City-Astoria,59144
Year2,Chelsea-Nolita,68046
Year2,Gramercy-Chinatown,22711
Year2,East Harlem-Mott Haven,12889
Year3,Little Italy-Midtown,30936
Year2,Concourse-East Harlem,1052
Year3,Kips Bay-Financial District,60505
Year3,Midtown-Morningside Heights,74946
Year3,Theater District-East Harlem,48932
Year2,LaGuardia Airport-Maspeth,6782
Year3,Sunset Park-Nolita,43
Year2,Battery Park City-Upper East Side,56479
Year2,Bedford-Stuyvesant-Central Park,82
Year3,West Village-Forest Hills,2543
Year2,SoHo-John F. Kennedy International Airport,23408
Year2,John F. Kennedy International Airport-Chinatown,10245
Year1,Port Morris-Harlem,1151
Year0,Stuyvesant Town-Two Bridges,882
Year0,Chinatown-Bushwick,4113
Year1,LaGuardia Airport-Inwood,6856
Year0,LaGuardia Airport-Tribeca,38580
Year1,Harlem-Bedford-Stuyvesant,1409
Year1,John F. Kennedy International Airport-Mott Haven,1807
Year2,Chelsea-South Ozone Park,2056
Year2,NoHo-Prospect Park,603
Year2,Chelsea-Wakefield,723
Year2,Inwood-Harlem,2183
Year2,South Ozone Park-South Ozone Park,2591
Year2,Theater District-Fordham,1763
Year1,Bensonhurst-Sunset Park,61
Year0,Concourse-Upper West Side,455
Year0,Lower East Side-Astoria,17875
Year1,Battery Park City-Bushwick,659
Year0,East Village-Flatbush,8071
Year0,Hell's Kitchen-Fort Hamilton,2493
Year0,Bushwick-Washington Heights,94
Year1,Battery Park City-Bayside,58
Year1,East Village-Brighton Beach,569
Year2,Mott Haven-Inwood,149
Year2,East Elmhurst-Sunnyside,1615
Year2,Battery Park City-Windsor Terrace,985
Year1,Astoria-Concourse,277
Year1,Park Slope-Fort Hamilton,788
Year1,South Slope-Tribeca,424
Year2,South Ozone Park-Chelsea,877
Year0,Prospect Park-Gowanus,214
Year0,Theater District-Boerum Hill,3910
Year0,Central Park-Lower East Side,7596
Year0,Kips Bay-Jamaica Hills,165
Year3,Morningside Heights-Tribeca,1835
Year3,Bushwick-Red Hook,105
Year3,Chelsea-East Elmhurst,5504
Year0,Chelsea-Hunts Point,271
Year0,Greenwich Village-Midwood,1159
Year3,NoHo-Bayside,85
Year0,Boerum Hill-South Slope,3369
Year0,Clinton Hill-Tribeca,624
Year0,LaGuardia Airport-Throgs Neck,1663
Year2,Central Park-Gowanus,299
Year0,West Village-Prospect-Lefferts Gardens,4513
Year1,Harlem-Hunts Point,257
Year0,Cambria Heights-John F. Kennedy International Airport,44
Year1,Chelsea-Jamaica Estates,1131
Year1,Lower East Side-Brighton Beach,329
Year3,Fordham-Fordham,924
Year3,NoHo-Astoria,3333
Year3,Crown Heights-Chelsea,534
Year3,Upper West Side-Fort Greene,3325
Year3,John F. Kennedy International Airport-Sunset Park,10037
Year0,Battery Park City-Sunset Park,1047
Year0,Inwood-East Harlem,518
Year1,LaGuardia Airport-St. Albans,1617
Year2,Stuyvesant Town-Roosevelt Island,280
Year1,West Village-Woodhaven,312
Year3,Theater District-Concourse Village,1794
Year3,Little Italy-Flushing,109
Year3,Cobble Hill-Vinegar Hill,158
Year3,Hell's Kitchen-Prospect-Lefferts Gardens,2460
Year3,Williamsburg-Forest Hills,838
Year3,Flatbush-Kensington,559
Year0,Financial District-East Flatbush,1496
Year0,South Ozone Park-Tribeca,451
Year1,Williamsburg-Forest Park,138
Year2,Forest Hills-Murray Hill,380
Year3,Sheepshead Bay-Coney Island,34
Year1,Brooklyn Heights-East Flatbush,475
Year3,Chelsea-St. Albans,306
Year2,Brooklyn Heights-Flushing,73
Year1,Prospect Park-Red Hook,75
Year3,Ditmars Steinway-Bayside,87
Year3,Kew Gardens-Forest Hills,360
Year2,Bedford-Stuyvesant-SoHo,792
Year3,Flushing Meadows Corona Park-East Village,206
Year1,Jamaica-Jamaica Estates,95
Year1,Richmond Hill-Financial District,128
Year3,Upper East Side-Cypress Hills,485
Year1,Central Park-Mill Basin,8
Year2,Long Island City-Bayside,349
Year2,Park Slope-East Elmhurst,106
Year3,Astoria-Kew Gardens,306
Year0,Bedford-Stuyvesant-Gramercy,549
Year0,Financial District-Vinegar Hill,1067
Year0,Lower East Side-Jamaica Estates,229
Year1,Park Slope-Morris Heights,8
Year3,East Harlem-Westchester Square,327
Year0,Lower East Side-Fieldston,134
Year2,Downtown Brooklyn-Middle Village,73
Year1,Financial District-Briarwood,289
Year2,Battery Park City-Sunset Park,1160
Year1,Hell's Kitchen-Williamsbridge,401
Year0,Melrose-Kingsbridge,14
Year3,Gowanus-Gravesend,163
Year3,Briarwood-Theater District,248
Year3,East Harlem-Castle Hill,250
Year2,LaGuardia Airport-Claremont Village,831
Year2,Elmhurst-Financial District,332
Year2,Chelsea-Williamsbridge,493
Year0,Long Island City-DUMBO,484
Year2,Murray Hill-Todt Hill,30
Year3,Vinegar Hill-John F. Kennedy International Airport,47
Year3,Financial District-Edenwald,23
Year1,Red Hook-Astoria,47
Year2,Bushwick-Cypress Hills,446
Year3,Williamsburg-Throgs Neck,23
Year2,Gowanus-Columbia St,427
Year3,Jamaica Hills-Fresh Meadows,15
Year3,Woodside-SoHo,306
Year1,Park Slope-Woodside,331
Year0,Windsor Terrace-Midtown,166
Year0,Battery Park City-Kingsbridge,133
Year1,Washington Heights-East Morrisania,100
Year1,Williamsburg-Fordham,170
Year0,Crown Heights-Murray Hill,146
Year1,Maspeth-Red Hook,10
Year2,Two Bridges-Longwood,12
Year3,NoHo-Floyd Bennett Field,3
Year3,Sunset Park-Lower East Side,181
Year2,Flatbush-East New York,233
Year3,Midwood-Crown Heights,61
Year0,Lower East Side-Holliswood,35
Year1,Upper East Side-Rockaway Park,79
Year3,Inwood-East Village,126
Year0,Lower East Side-Morrisania,87
Year0,Maspeth-Park Slope,28
Year2,Sheepshead Bay-East Village,18
Year2,Lower East Side-Douglaston,63
Year1,Gramercy-Canarsie,217
Year2,Cambria Heights-Crown Heights,45
Year1,Chinatown-Jamaica Estates,50
Year1,East Flatbush-Long Island City,17
Year0,Vinegar Hill-Gowanus,45
Year3,Bensonhurst-Bath Beach,72
Year3,Port Richmond-Port Richmond,49
Year3,Gowanus-SoHo,216
Year0,Norwood-Washington Heights,24
Year2,Stuyvesant Town-Red Hook,214
Year1,Harlem-North Riverdale,207
Year2,Little Italy-Canarsie,18
Year3,Upper East Side-St. Albans,178
Year1,Carroll Gardens-Corona,42
Year3,Concourse-Lower East Side,31
Year0,East Village-Country Club,84
Year2,Jamaica-Kew Gardens Hills,47
Year2,Red Hook-Bushwick,146
Year0,Concourse-Long Island City,52
Year1,Bronx Park-Fordham,23
Year3,South Slope-Midwood,111
Year1,Williamsburg-Huguenot,3
Year1,Gowanus-Kips Bay,424
Year1,Windsor Terrace-Borough Park,85
Year3,Middle Village-East Elmhurst,30
Year3,Port Morris-Fordham,39
Year3,Forest Hills-Prospect Heights,4
Year0,Longwood-Wakefield,16
Year1,Borough Park-Maspeth,6
Year1,Rego Park-Bayside,66
Year1,SoHo-Cunningham Park,10
Year1,Astoria-Emerson Hill,2
Year0,Greenpoint-Springfield Gardens,6
Year0,Civic Center-Coney Island,16
Year3,Bellerose-Queens Village,18
Year0,Bushwick-Mott Haven,14
Year1,Jamaica-Norwood,4
Year1,Theater District-Eastchester,61
Year0,Flatbush-Chinatown,65
Year2,Morris Park-Baychester,4
Year2,Kingsbridge-Claremont Village,23
Year1,Fort Hamilton-Dyker Heights,121
Year1,Upper West Side-Laurelton,57
Year1,Bushwick-Bensonhurst,32
Year0,Vinegar Hill-South Slope,55
Year0,Financial District-New Brighton,17
Year0,Williamsburg-Shore Acres,29
Year1,Long Island City-Sea Gate,2
Year2,Little Italy-Ozone Park,6
Year3,SoHo-Morris Park,92
Year2,Battery Park City-Highbridge,29
Year3,Mount Hope-Hell's Kitchen,9
Year1,Chinatown-South Ozone Park,130
Year1,Crown Heights-Flushing,50
Year2,Roosevelt Island-West Village,67
Year0,Roosevelt Island-Rosedale,1
Year3,Harlem-Floral Park,6
Year2,Jamaica Estates-Little Neck,2
Year1,Harlem-Arverne,7
Year3,Corona-St. Albans,9
Year3,Fort Hamilton-St. George,4
Year0,Woodside-Sunset Park,106
Year3,Forest Hills-Forest Park,66
Year3,Nolita-Rosedale,3
Year2,Little Italy-Woodhaven,16
Year1,Roosevelt Island-Forest Hills,37
Year3,Stuyvesant Town-Whitestone,11
Year2,Stuyvesant Town-Van Cortlandt Park,13
